job_title,company_name,company_location,job_listed,job_detail_url,company_link
HR Operations Manager-Sri Lanka,HSBC,"Colombo, Western Province, Sri Lanka",1 week ago,https://lk.linkedin.com/jobs/view/hr-operations-manager-sri-lanka%09-at-hsbc-4231142975?position=1&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=ja62SFRsb1PFPQteK%2Bz4dw%3D%3D,https://uk.linkedin.com/company/hsbc?trk=public_jobs_jserp-result_job-search-card-subtitle
People & Culture and Administrative Specialist,lululemon,"Colombo, Western Province, Sri Lanka",2 weeks ago,https://lk.linkedin.com/jobs/view/people-culture-and-administrative-specialist-at-lululemon-4226923090?position=2&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=ZqhtKHG3XgSAa%2F95KoO2EA%3D%3D,https://ca.linkedin.com/company/lululemon?trk=public_jobs_jserp-result_job-search-card-subtitle
HR Executive - Talent Acquisition - 0057,NativeWay,"Colombo, Western Province, Sri Lanka",1 day ago,https://lk.linkedin.com/jobs/view/hr-executive-talent-acquisition-0057-at-nativeway-4237935021?position=3&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=gcojAX%2BbHghk8dHedo58xQ%3D%3D,https://lk.linkedin.com/company/nativeway?trk=public_jobs_jserp-result_job-search-card-subtitle
HR Assistant,RIU Hotels & Resorts,"Ahungalla, Southern Province, Sri Lanka",3 hours ago,https://lk.linkedin.com/jobs/view/hr-assistant-at-riu-hotels-resorts-4234364536?position=4&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=5MKPx%2Bu2J3ClsazcY1fDCw%3D%3D,https://es.linkedin.com/company/riu-hotels-resorts?trk=public_jobs_jserp-result_job-search-card-subtitle
HR Executive,Hype Invention,"Colombo, Western Province, Sri Lanka",3 weeks ago,https://lk.linkedin.com/jobs/view/hr-executive-at-hype-invention-4222203934?position=5&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=5itPJJkOmmr8bAFBQWYcZA%3D%3D,https://lk.linkedin.com/company/hype-invention?trk=public_jobs_jserp-result_job-search-card-subtitle
Head of Human Resources,Therighttalent,"Colombo, Western Province, Sri Lanka",4 weeks ago,https://lk.linkedin.com/jobs/view/head-of-human-resources-at-therighttalent-4215860972?position=6&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=Y9e3MpB%2B01V7hL6R5og2Og%3D%3D,https://lk.linkedin.com/company/therighttalent-net?trk=public_jobs_jserp-result_job-search-card-subtitle
General Manager Human Resources,CAREER141,"Colombo, Western Province, Sri Lanka",3 days ago,https://lk.linkedin.com/jobs/view/general-manager-human-resources-at-career141-4236918426?position=7&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=Sp%2BJgL5mP0xM1q6yX%2FuCKA%3D%3D,https://lk.linkedin.com/company/career-consultants-pvt-ltd?trk=public_jobs_jserp-result_job-search-card-subtitle
HR Executive,Virtusa,"Colombo District, Western Province, Sri Lanka",1 hour ago,https://lk.linkedin.com/jobs/view/hr-executive-at-virtusa-4220024485?position=8&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=ISG3ec1LFioh0rZABY%2FC5w%3D%3D,https://www.linkedin.com/company/virtusa?trk=public_jobs_jserp-result_job-search-card-subtitle
Country HR Consultant,Pearson,Sri Lanka,1 month ago,https://lk.linkedin.com/jobs/view/country-hr-consultant-at-pearson-4201237188?position=9&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=ntYRj4%2Bc0FjScLWNT2YZnQ%3D%3D,https://uk.linkedin.com/company/pearson?trk=public_jobs_jserp-result_job-search-card-subtitle
Junior Executive- HR Business Development,Smart Quest Consultancy,"Colombo, Western Province, Sri Lanka",4 weeks ago,https://lk.linkedin.com/jobs/view/junior-executive-hr-business-development-at-smart-quest-consultancy-4217818864?position=10&pageNum=0&refId=7EjvAhmUWylGU8ILLgE84Q%3D%3D&trackingId=OrvEuFWOvF9BLxCP%2FMVDHw%3D%3D,https://lk.linkedin.com/company/smart_quest_coaching?trk=public_jobs_jserp-result_job-search-card-subtitle
